文字,文字.1,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称.1,No.,Unnamed: 9
的,的,7684,30340,62539,uni7684uE0101-JP,27699,uni7684-CN,,
皓,皓,7693,30355,62540,uni7693uE0101-JP,27723,uni7693-CN,,
皶,皶,76B6,30390,27778,uni76B6-JP,27779,uni76B6-CN,,
益,益,76CA,30410,58882,uniFA17-JP,27807,uni76CA-JP,,
盛,盛,76DB,30427,62543,uni76DBuE0101-JP,27832,uni76DB-CN,,
盟,盟,76DF,30431,62544,uni76DFuE0101-JP,27838,uni76DF-CN,,
盲,盲,76F2,30450,62545,uni76F2uE0101-JP,27868,uni76F2-JP,,
眷,眷,7737,30519,27971,uni7737-JP,62547,uni7737uE0101-JP,,
睛,睛,775B,30555,28029,uni775B-JP,28030,uni775B-CN,,
睬,睬,776C,30572,28061,uni776C-JP,28062,uni776C-CN,,
睭,睭,776D,30573,28065,uni776D-HK,28063,uni776D-CN,,
睹,睹,7779,30585,28079,uni7779-JP,28080,uni7779-CN,,
瞥,瞥,77A5,30629,28157,uni77A5-JP,61976,uni77A5-JP90-JP,,
