標準,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,被修改或替換的字圖名称,IVD集,默認字圖,註釋
啟,555F,21855,E0100,12463,uni555F-CL,uni555F-CN,MSARG,All,
啟,555F,21855,E0101,12464,uni555FuE0101-MO,uni555F-TW,MSARG,IVS,
啥,5565,21861,/,12473,uni5565-CL,uni5565-CN,/,All,
啨,5568,21864,E0100,12469,uni5568-CL,uni5562-CN,Hanyo-Denshi,CL,
啫,556B,21867,E0101,12471,uni556B-CL,uni5563-TW,MSARG,CL,
啲,5572,21874,E01EA,12475,uni5572-CL,uni5566-CN,PUA,CL,
啰,5570,21872,/,12485,uni5570-CN,uni5570-CN,/,All,
啻,557B,21883,E01EA,12497,uni557B-V-CL,uni557B-CN,PUA,IVS,
啼,557C,21884,E0102,12499,uni557CuE0102-JP,uni557C-CN,Hanyo-Denshi,IVS,
喨,55A8,21928,E0102,12579,uni55A8uE0102-JP,uni55A8-CN,Hanyo-Denshi,IVS,
喪,55AA,21930,E0102,12585,uni55AAuE0102-JP,uni55AA-CN,Hanyo-Denshi,IVS,
喲,55B2,21938,E01EA,12601,uni55B2-M,uni55B2-CN,PUA,"M,CM",
喳,55B3,21939,E01EA,12603,uni55B3-CL,uni55B3-TW,PUA,CL,
喺,55BA,21946,/,12613,uni55BA-CL,uni55BA-CN,/,All,
喻,55BB,21947,E0100,12615,uni55BB-M,uni55BB-CN,Hanyo-Denshi,M,
喻,55BB,21947,E0101,12616,uni55BBuE0101-JP,uni55BB-TW,Hanyo-Denshi,IVS,
喻,55BB,21947,E01EA,12582,uni55BB-CM,uni55A9-CN,PUA,"CL,CM",
喽,55BD,21949,/,12619,uni55BD-CM,uni55BD-CN,/,All,
嗅,55C5,21957,E0102,12635,uni55C5uE0102-JP,uni55C5-TW,Hanyo-Denshi,IVS,
嗌,55CC,21964,E01EA,12647,uni55CC-M,uni55CC-CN,PUA,M,
嗔,55D4,21972,E0102,12664,uni55D4-M,uni55D4-CN,Hanyo-Denshi,M,
嗡,55E1,21985,E01EA,12691,uni55E1-CL,uni55E1-CN,PUA,CL,
嗡,55E1,21985,E01EB,12692,uni55E1-M,uni55E1-TW,PUA,"M,CM",
嗦,55E6,21990,/,12700,uni55E6-CL,uni55E6-CN,/,All,
嗧,55E7,21991,/,12701,uni55E7-CL,uni55E7-CN,/,All,
嗨,55E8,21992,/,12702,uni55E8-CL,uni55E8-CN,/,All,
嘀,5600,22016,E01EA,12745,uni5600-CL,uni5600-CN,PUA,All,
嘀,5600,22016,E01EB,12744,uni5600-V-CL,uni55FF-TW,PUA,IVS,
嘅,5605,22021,E0105,12753,uni5605-CL,uni5605-CN,Moji-Joho,"CL,CM",
嘅,5605,22021,E01EA,12754,uni5605-M,uni5605-HK,PUA,M,
嘐,5610,22032,E01EA,12774,uni5610-M,uni5610-CN,PUA,M,
嘛,561B,22043,E0102,12793,uni561B-CM,uni561B-CN,Hanyo-Denshi,CM,
嘟,561F,22047,E01EA,12794,uni561F-CL,uni561B-TW,PUA,CL,
嘩,5629,22057,E0102,12812,uni5629uE0102-JP,uni5629-TW,Hanyo-Denshi,IVS,
嘰,5630,22064,E0102,12824,uni5630uE0102-JP,uni5630-CN,Hanyo-Denshi,IVS,
噏,564F,22095,E01EA,12879,uni564F-M,uni564F-CN,PUA,M,
噙,5659,22105,/,12894,uni5659-CL,uni5659-CN,/,All,
噫,566B,22123,E0102,12928,uni566BuE0102-JP,uni566B-CN,Hanyo-Denshi,IVS,
噱,5671,22129,E0102,12938,uni5671uE0102-JP,uni5671-CN,Hanyo-Denshi,IVS,
噶,5676,22134,E0102,12949,uni5676uE0102-JP,uni5676-CN,Hanyo-Denshi,IVS,
嚎,568E,22158,/,12992,uni568E-CL,uni568E-CN,/,All,
嚐,5690,22160,/,12994,uni5690-CL,uni5690-TW,/,All,
嚨,56A8,22184,E0102,13035,uni56A8uE0102-JP,uni56A8-CN,Hanyo-Denshi,IVS,
嚮,56AE,22190,E01EA,13049,uni56AE-M,uni56AE-CN,PUA,"M,CM",
嚼,56BC,22204,E01EA,13076,uni56BC-M,uni56BC-CN,PUA,IVS,
嚼,56BC,22204,E0102,13078,uni56BC-CM,uni56BD-TW,Hanyo-Denshi,"M,CM",
嚾,56BE,22206,E01EA,13080,uni56BE-M,uni56BE-CN,PUA,All,
囈,56C8,22216,E0102,13099,uni56C8uE0102-JP,uni56C8-CN,Hanyo-Denshi,IVS,
囔,56D4,22228,/,13122,uni56D4-CL,uni56D4-CN,/,All,
四,56DB,22235,E0102,13132,uni56DBuE0102,uni56DB-CN,Hanyo-Denshi,IVS,
团,56E2,22242,E0100,13144,uni56E2-CL,uni56E1-TW,Hanyo-Denshi,All,
圈,5708,22280,E0102,13205,uni5708-M,uni5708-CN,Hanyo-Denshi,M,
圬,572C,22316,E0102,13260,uni572CuE0102-JP,uni572C-CN,Hanyo-Denshi,IVS,
坛,575B,22363,/,13326,uni575B-CN,uni575B-CN,/,All,
垉,5789,22409,E0102,13388,uni5789uE0102-JP,uni5783-CN,Hanyo-Denshi,IVS,
垒,5792,22418,/,13403,uni5792-CL,uni5792-CN,/,All,
垓,5793,22419,E0102,13405,uni5793uE0102-JP,uni5793-CN,Hanyo-Denshi,IVS,
垛,579B,22427,/,13416,uni579B-CL,uni579B-CN,/,All,
垦,57A6,22438,/,13434,uni57A6-CN,uni57A6-CN,/,All,
埥,57E5,22501,E0100,13522,uni57E5-CL,uni57E5-TW,Hanyo-Denshi,CL,
埩,57E9,22505,E01EA,13530,uni57E9-M,uni57E9-CN,PUA,M,
埩,57E9,22505,E01EB,13531,uni57E9var1,uni57E9-TW,PUA,IVS,
堊,580A,22538,E01EA,13588,uni580A-CM,uni5809-TW,PUA,CM,
堰,5830,22576,E0102,13650,uni5830uE0102-JP,uni5830-CN,Hanyo-Denshi,IVS,
堰,5830,22576,E0103,13651,uni5830uE0103-JP,uni5830-TW,Moji-Joho,IVS,
報,5831,22577,E0102,13653,uni5831uE0102-JP,uni5831-CN,Hanyo-Denshi,IVS,
塑,5851,22609,E0102,13702,uni5851uE0102-JP,uni5851-CN,Hanyo-Denshi,IVS,
塔,5854,22612,E0102,13709,uni5854uE0102-JP,uni5854-CN,Hanyo-Denshi,IVS,
塕,5855,22613,E01EA,13712,uni5855-M,uni5855-CN,PUA,M,
墀,5880,22656,E0102,13785,uni5880uE0102-JP,uni5880-CN,Hanyo-Denshi,IVS,
墁,5881,22657,E0102,13787,uni5881uE0102-JP,uni5881-CN,Hanyo-Denshi,All,
境,5883,22659,E0102,13791,uni5883uE0102-JP,uni5883-CN,Hanyo-Denshi,IVS,
壇,58C7,22727,E0102,13905,uni58C7uE0102-JP,uni58C7-CN,Hanyo-Denshi,IVS,
壒,58D2,22738,E0102,13926,uni58D2uE0102-JP,uni58D2-CN,Hanyo-Denshi,IVS,
壙,58D9,22745,E0102,13940,uni58D9-CM,uni58D9-CN,Hanyo-Denshi,CM,
壟,58DF,22751,E0102,13955,uni58DFuE0102-JP,uni58DF-CN,Hanyo-Denshi,IVS,
壠,58E0,22752,E0102,13958,uni58E0uE0102-JP,uni58E0-CN,Hanyo-Denshi,IVS,
壷,58F7,22775,E0102,13951,uni58F7uE0102,uni58DD-TW,Hanyo-Denshi,IVS,
壺,58FA,22778,E0102,13953,uni58FAuE0102-JP,uni58DE-CN,Hanyo-Denshi,IVS,
夒,5912,22802,E0102,14031,uni5912uE0102-JP,uni5912-CN,Hanyo-Denshi,IVS,
夔,5914,22804,E0102,14038,uni5914uE0102-JP,uni5914-TW,Hanyo-Denshi,IVS,
外,5916,22806,E0102,14042,uni5916uE0102-JP,uni5916-CN,Hanyo-Denshi,IVS,
夜,591C,22812,E01EA,14053,uni591C-KX,uni591C-CN,PUA,IVS,
夸,5938,22840,E0102,14099,uni5938uE0102-JP,uni5938-CN,Hanyo-Denshi,IVS,
奄,5944,22852,E0102,14114,uni5944uE0102-JP,uni5944-TW,Hanyo-Denshi,IVS,
奆,5946,22854,E0102,14117,uni5946-M,uni5946-CN,Hanyo-Denshi,M,
契,5951,22865,E0104,14134,uni5951uE0104-JP,uni5951-CN,Hanyo-Denshi,IVS,
契,5951,22865,E0106,14135,uni5951uE0106-JP,uni5951-TW,Hanyo-Denshi,IVS,
奖,5956,22870,E0100,14146,uni5956-CN,uni5956-CN,Hanyo-Denshi,All,
奘,5958,22872,E0102,14150,uni5958uE0102-JP,uni5958-TW,Hanyo-Denshi,IVS,
奚,595A,22874,E01EA,14154,uni595A-CM,uni595A-CN,PUA,"M,CM",
奬,596C,22892,E0103,14187,uni596C-CM,uni596C-CN,Hanyo-Denshi,CM,
奩,5969,22889,E0102,14180,uni5969-CL,uni5969-CN,Hanyo-Denshi,All,
奰,5970,22896,E0100,14192,uni5970-CL,uni5970-TW,Hanyo-Denshi,All,
奲,5972,22898,E0102,14196,uni5972-M,uni5972-CN,Hanyo-Denshi,M,
妁,5981,22913,E0102,14234,uni5981-CL,uni5981-CN,Hanyo-Denshi,CL,
妃,5983,22915,E0102,14240,uni5983uE0102-JP,uni5983-CN,Hanyo-Denshi,IVS,
妆,5986,22918,/,14247,uni5986-CM,uni5986-CN,/,All,
妇,5987,22919,/,14248,uni5987-CN,uni5987-CN,/,All,
妈,5988,22920,/,14249,uni5988-CN,uni5988-CN,/,All,
妒,5992,22930,E01EA,14274,uni5992-CM,uni5992-TW,PUA,CM,
妛,599B,22939,E0102,14295,uni599B-CL,uni599A-HK,Hanyo-Denshi,All,
妞,599E,22942,/,14302,uni599E-CL,uni599E-TW,/,All,
妠,59A0,22944,E0100,14306,uni59A0-CL,uni59A0-CN,Hanyo-Denshi,All,
妠,59A0,22944,E0101,14307,uni59A0uE0101-JP,uni59A0-TW,Hanyo-Denshi,IVS,
姅,59C5,22981,E01EA,14398,uni59C5-CL,uni59C5-CN,PUA,"CL,CM",
姅,59C5,22981,E01EB,14399,uni59C5-M,uni59C5-TW,PUA,M,
姍,59CD,22989,E0102,14420,uni59CDuE0102-JP,uni59CD-CN,Hanyo-Denshi,IVS,
姗,59D7,22999,/,14444,uni59D7-CN,uni59D7-CN,/,All,
姘,59D8,23000,E0100,14445,uni59D8-M,uni59D8-CN,Hanyo-Denshi,M,
姘,59D8,23000,E0101,14446,uni59D8-CL,uni59D8-TW,Hanyo-Denshi,"CL,CM",
