文字,文字,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称,No.
静,静,9759,38745,63001,uni9759uE0101-JP,43664,uni9759-JP,
靠,靠,9760,38752,43681,uni9760-JP,63004,uni9760uE0101-JP,
鞘,鞘,9798,38808,43767,uni9798-JP,62047,uni9798-JP90-JP,
音,音,97F3,38899,63012,uni97F3uE0101-JP,43935,uni97F3-JP,
頑,頑,9811,38929,63017,uni9811uE0101-JP,43984,uni9811-JP,
頤,頤,9824,38948,44016,uni9824-JP,63020,uni9824uE0101-JP,
顧,顧,9867,39015,63021,uni9867uE0101-JP,44120,uni9867-JP,
食,食,98DF,39135,1383,uni2EDD-JP,44303,uni98DF-JP,
飢,飢,98E2,39138,63024,uni98E2uE0101-JP,44312,uni98E2-JP,
飯,飯,98EF,39151,58908,uniFA2A-JP,44344,uni98EF-JP,
飴,飴,98F4,39156,44358,uni98F4-JP,62049,uni98F4-JP90-JP,
飼,飼,98FC,39164,58909,uniFA2B-JP,44375,uni98FC-JP,
