文字,文字,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称,No.,
骱,骱,9AB1,39601,45157,uni9AB1-CN,45159,uni9AB1-HK,304,
骳,骳,9AB3,39603,45163,uni9AB3-TW,45164,uni9AB3-HK,305,
骺,骺,9ABA,39610,45184,uni9ABA-CN,45185,uni9ABA-HK,306,
髂,髂,9AC2,39618,45209,uni9AC2-CN,45211,uni9AC2-HK,307,
髇,髇,9AC7,39623,45221,uni9AC7-CN,45223,uni9AC7-HK,308,
髊,髊,9ACA,39626,45228,uni9ACA-TW,45229,uni9ACA-HK,309,
髍,髍,9ACD,39629,45232,uni9ACD-CN,45234,uni9ACD-HK,310,
鬅,鬅,9B05,39685,45361,uni9B05-KR,45360,uni9B05-JP,311,
鬋,鬋,9B0B,39691,45375,uni9B0B-KR,45374,uni9B0B-JP,312,
鬘,鬘,9B18,39704,45404,uni9B18-JP,63047,uni9B18uE0101-JP,313,
魍,魍,9B4D,39757,63051,uni9B4DuE0101-JP,45525,uni9B4D-JP,314,
魘,魘,9B58,39768,45555,uni9B58-JP,63053,uni9B58uE0101-JP,315,
鯛,鯛,9BDB,39899,45746,uni9BDB-JP,63059,uni9BDBuE0101-JP,316,
鯲,鯲,9BF2,39922,45791,uni9BF2-JP,63062,uni9BF2uE0101-JP,317,
鱈,鱈,9C48,40008,45952,uni9C48-JP,63066,uni9C48uE0101-JP,318,
鱡,鱡,9C61,40033,45999,uni9C61-JP,46000,uni9C61-CN,319,
鴉,鴉,9D09,40201,46202,uni9D09-KR,46201,uni9D09-JP,320,
鵩,鵩,9D69,40297,46348,uni9D69-CN,46347,uni9D69-JP,321,
鵬,鵬,9D6C,40300,46352,uni9D6C-JP,63072,uni9D6CuE0101-JP,323,
鵰,鵰,9D70,40304,46357,uni9D70-CN,46356,uni9D70-JP,322,
黷,黷,9EF7,40695,47097,uni9EF7-CN,47096,uni9EF7-JP,324,
龍,龍,9F8D,40845,47443,uni9F8D-JP,63095,uni9F8DuE0102-JP,325,
龜,龜,9F9C,40860,63096,uni9F9CuE0101-JP,47476,uni9F9C-JP,326,
龝,龝,9F9D,40861,63098,uni9F9DuE0101-JP,47479,uni9F9D-JP,327,
