標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
僉,僉,50C9,20681,E0101,10610,uni50C9-JP,Hanyo-Denshi,,
僊,僊,50CA,20682,E0103,10612,uni50CA-JP,Hanyo-Denshi,,
僊,僊,50CA,20682,E0104,62093,uni50CAuE0102-JP,Hanyo-Denshi,,
僊,僊,50CA,20682,E0105,62092,uni50CAuE0101-JP,Hanyo-Denshi,,
像,像,50CF,20687,E0102,10620,uni50CF-JP,Hanyo-Denshi,,
僐,僐,50D0,20688,E0101,10623,uni50D0-JP,Hanyo-Denshi,,
僘,僘,50D8,20696,E0101,10635,uni50D8-JP,Hanyo-Denshi,,
僙,僙,50D9,20697,E0101,10637,uni50D9-JP,Hanyo-Denshi,,
僞,僞,50DE,20702,E0101,10646,uni50DE-JP,Hanyo-Denshi,,
僟,僟,50DF,20703,E0101,10648,uni50DF-JP,Hanyo-Denshi,,
僢,僢,50E2,20706,E0101,10655,uni50E2-JP,Hanyo-Denshi,,
僤,僤,50E4,20708,E0101,10660,uni50E4-JP,Hanyo-Denshi,,
僧,僧,50E7,20711,E0102,10664,uni50E7-JP,Hanyo-Denshi,,
僧,僧,50E7,20711,E0105,58913,uniFA31-JP,Hanyo-Denshi,,
僨,僨,50E8,20712,E0101,10667,uni50E8-JP,Hanyo-Denshi,,
僭,僭,50ED,20717,E0102,10675,uni50ED-JP,Hanyo-Denshi,,
僭,僭,50ED,20717,E0103,62095,uni50EDuE0101-JP,Hanyo-Denshi,,
僮,僮,50EE,20718,E0101,10679,uni50EE-JP,Hanyo-Denshi,,
僯,僯,50EF,20719,E0101,10681,uni50EF-JP,Hanyo-Denshi,,
僲,僲,50F2,20722,E0102,62096,uni50F2uE0101-JP,Hanyo-Denshi,,
僲,僲,50F2,20722,E0103,10690,uni50F2-JP,Hanyo-Denshi,,
僶,僶,50F6,20726,E0101,10696,uni50F6-JP,Hanyo-Denshi,,
儃,儃,5103,20739,E0101,10718,uni5103-JP,Hanyo-Denshi,,
億,億,5104,20740,E0101,10720,uni5104-JP,Hanyo-Denshi,,
儆,儆,5106,20742,E0101,10723,uni5106-CN,Hanyo-Denshi,,
儈,儈,5108,20744,E0101,10727,uni5108-JP,Hanyo-Denshi,,
儍,儍,510D,20749,E0101,10738,uni510D-JP,Hanyo-Denshi,,
儐,儐,5110,20752,E0101,10743,uni5110-JP,Hanyo-Denshi,,
儔,儔,5114,20756,E0101,10750,uni5114-JP,Hanyo-Denshi,,
儚,儚,511A,20762,E0102,10760,uni511A-JP,Hanyo-Denshi,,
儛,儛,511B,20763,E0101,10763,uni511B-JP,Hanyo-Denshi,,
優,優,512A,20778,E0101,10787,uni512A-JP,Hanyo-Denshi,,
儬,儬,512C,20780,E0101,10791,uni512C-JP,Hanyo-Denshi,,
儱,儱,5131,20785,E0101,10802,uni5131-JP,Hanyo-Denshi,,
儲,儲,5132,20786,E0102,61898,uni5132-JP90-JP,Hanyo-Denshi,,
儲,儲,5132,20786,E0103,10805,uni5132-JP,Hanyo-Denshi,,
儺,儺,513A,20794,E0101,10823,uni513A-JP,Hanyo-Denshi,,
儻,儻,513B,20795,E0101,10825,uni513B-JP,Hanyo-Denshi,,
儼,儼,513C,20796,E0101,10826,uni513C-JP,Hanyo-Denshi,,
兀,兀,5140,20800,E0102,10831,uni5140-JP,Moji-Joho,,
兂,兂,5142,20802,E0101,10835,uni5142-JP,Hanyo-Denshi,,
充,充,5145,20805,E0101,10839,uni5145-JP,Hanyo-Denshi,,
兆,兆,5146,20806,E0102,10842,uni5146-CN,Moji-Joho,,
兆,兆,5146,20806,E0103,62098,uni5146uE0101-JP,Moji-Joho,,
兇,兇,5147,20807,E0101,10843,uni5147-JP,Hanyo-Denshi,,
兊,兊,514A,20810,E0101,10847,uni514A-JP,Hanyo-Denshi,,
兌,兌,514C,20812,E0101,10850,uni514C-JP,Hanyo-Denshi,,
免,免,514D,20813,E0102,10853,uni514D-JP,Hanyo-Denshi,,
免,免,514D,20813,E0104,58914,uniFA32-JP,Hanyo-Denshi,,
兎,兎,514E,20814,E0102,61899,uni514E-JP90-JP,Hanyo-Denshi,,
兎,兎,514E,20814,E0103,10855,uni514E-JP,Hanyo-Denshi,,
兓,兓,5153,20819,E0101,10861,uni5153-JP,Hanyo-Denshi,,
兔,兔,5154,20820,E0103,10863,uni5154-CN,Hanyo-Denshi,,
兔,兔,5154,20820,E0105,61806,u2F80F-JP,Hanyo-Denshi,,
兜,兜,515C,20828,E0101,10876,uni515C-JP,Moji-Joho,,
全,全,5168,20840,E0102,10898,uni5168-JP,Hanyo-Denshi,,
全,全,5168,20840,E0103,62100,uni5168uE0101-JP,Hanyo-Denshi,,
兩,兩,5169,20841,E0101,10900,uni5169-JP,Hanyo-Denshi,,
兪,兪,516A,20842,E0101,10902,uni516A-JP,Hanyo-Denshi,,
八,八,516B,20843,E0102,10905,uni516B-JP,Hanyo-Denshi,,
八,八,516B,20843,E0103,62101,uni516BuE0101-JP,Hanyo-Denshi,,
公,公,516C,20844,E0102,10908,uni516C-JP,Hanyo-Denshi,,
公,公,516C,20844,E0103,62102,uni516CuE0101-JP,Hanyo-Denshi,,
兮,兮,516E,20846,E0101,10913,uni516E-JP,Hanyo-Denshi,,
具,具,5177,20855,E0102,10926,uni5177-JP,Hanyo-Denshi,,
具,具,5177,20855,E0104,62103,uni5177uE0101-JP,Hanyo-Denshi,,
典,典,5178,20856,E0101,10927,uni5178-CN,Hanyo-Denshi,,
养,养,517B,20859,E0101,10931,uni517B-JP,Hanyo-Denshi,,
兼,兼,517C,20860,E0102,10933,uni517C-CN,Hanyo-Denshi,,
兼,兼,517C,20860,E0104,62104,uni517CuE0101-JP,Hanyo-Denshi,,
冀,冀,5180,20864,E0101,10938,uni5180-JP,Hanyo-Denshi,,
